osm_node_id,longitude_deg,latitude_deg,projected_x_m,projected_y_m,projected_crs,source_tags_json,road_parent_ways_json,rail_parent_ways_json,model_connection_status
11033802759,73.3391476,18.7972956,324965.33023424644,2079216.504843009,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188226490}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":484272340}]",native_shared_node_not_transfer_or_conflict_permission
11037270923,72.9605323,18.9505851,285246.9313427786,2096601.4285495216,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188638600}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":816843112}]",native_shared_node_not_transfer_or_conflict_permission
11037270924,72.9604036,18.9507593,285233.59789933224,2096620.8697790697,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188638600}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":991641691}]",native_shared_node_not_transfer_or_conflict_permission
11037303519,73.0625692,18.7167119,295711.8984476254,2070591.3621665363,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187990778}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":122091072}]",native_shared_node_not_transfer_or_conflict_permission
11037303520,73.0625993,18.7166741,295715.02782354376,2070587.1434330244,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187990778}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":312446323}]",native_shared_node_not_transfer_or_conflict_permission
11038515183,72.9433179,18.7054069,283119.09827148897,2069480.6260483053,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188785698}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":122091076}]",native_shared_node_not_transfer_or_conflict_permission
11038797291,73.0220429,19.247413,292097.30088728445,2129386.8258149866,EPSG:32643,{},"[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188813787}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530001}]",native_shared_node_not_transfer_or_conflict_permission
11038797292,73.021999,19.2473928,292092.6596628574,2129384.642169133,EPSG:32643,{},"[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188813787}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530002}]",native_shared_node_not_transfer_or_conflict_permission
11124397975,73.1453305,18.9333944,304691.5883334303,2094483.6391737892,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":777947855}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":45095816}]",native_shared_node_not_transfer_or_conflict_permission
11124397976,73.1453933,18.9333907,304698.1991031361,2094483.1601072245,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":777947855}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":608390663}]",native_shared_node_not_transfer_or_conflict_permission
11206903874,72.8399228,18.9435653,272532.7555558508,2095975.5424629229,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1209643865}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1393929773}]",native_shared_node_not_transfer_or_conflict_permission
11250713785,73.0219174,18.7010218,291404.8700909491,2068901.5461913727,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187847622}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":122091074}]",native_shared_node_not_transfer_or_conflict_permission
11288445163,72.9066761,20.2258529,281304.1010354805,2237856.1224903753,EPSG:32643,{},"[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1218240130}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530001}]",native_shared_node_not_transfer_or_conflict_permission
11288445164,72.9066384,20.2258881,281300.2103097019,2237860.0696039293,EPSG:32643,{},"[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1218240130}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530002}]",native_shared_node_not_transfer_or_conflict_permission
11292400623,73.6987449,18.725361,362810.49090817384,2070939.8879631893,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1218673963}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":619726210}]",native_shared_node_not_transfer_or_conflict_permission
11647432808,73.0712766,19.0259179,297003.1234671464,2104809.341037485,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""proposed"",""geometry_role"":""native_way_geometry"",""osm_way_id"":215241785}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":556745570}]",native_shared_node_not_transfer_or_conflict_permission
11647432809,73.0713132,19.0259484,297007.013811407,2104812.6750197937,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""proposed"",""geometry_role"":""native_way_geometry"",""osm_way_id"":215241785}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":83276639}]",native_shared_node_not_transfer_or_conflict_permission
11811666535,72.8030632,19.9507752,270074.0551665287,2207538.727868909,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1271969569}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530001}]",native_shared_node_not_transfer_or_conflict_permission
11811666536,72.8030155,19.9507853,270069.0757515721,2207539.911536025,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1271969569}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530002}]",native_shared_node_not_transfer_or_conflict_permission
11811666543,72.8028531,19.950155,270051.1593406964,2207470.345876001,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1271969570}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530001}]",native_shared_node_not_transfer_or_conflict_permission
11811666544,72.8028037,19.95016,270045.9945284488,2207470.9671942596,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1271969570}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1125530002}]",native_shared_node_not_transfer_or_conflict_permission
11853715932,72.9058667,18.7258637,279194.9774272181,2071791.1803272595,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1001069597}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187527635}]",native_shared_node_not_transfer_or_conflict_permission
11912094978,72.9758038,19.1855106,287155.8225281114,2122589.9256095663,EPSG:32643,{},"[{""feature_value"":""pedestrian"",""geometry_role"":""area_boundary"",""osm_way_id"":434916261},{""feature_value"":""footway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":914059976}]","[{""feature_value"":""platform"",""geometry_role"":""area_boundary"",""osm_way_id"":434916263}]",native_shared_node_not_transfer_or_conflict_permission
11921514206,72.8356902,20.2098895,273862.2447378107,2236183.9432551446,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":606337052}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":709222536}]",native_shared_node_not_transfer_or_conflict_permission
11921514207,72.8453489,20.221982,274889.2064206041,2237509.7063916456,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":606337052}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":709222536}]",native_shared_node_not_transfer_or_conflict_permission
11921514208,72.8317471,20.2049254,273442.9112901548,2235639.687181419,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":619387615}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":709222536}]",native_shared_node_not_transfer_or_conflict_permission
11938941986,73.0186431,19.0435502,291483.77741459,2106822.912647516,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1092624647}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":563239089}]",native_shared_node_not_transfer_or_conflict_permission
11938941987,73.0188975,19.0435526,291510.56169819745,2106822.8760426384,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1092624647}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1164686608}]",native_shared_node_not_transfer_or_conflict_permission
11938941988,73.0187192,19.0435509,291491.78951518884,2106822.8997093793,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1092624647}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":600157359}]",native_shared_node_not_transfer_or_conflict_permission
11938941989,73.0188456,19.0435521,291505.09743902273,2106822.882358446,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1092624647}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1058064646}]",native_shared_node_not_transfer_or_conflict_permission
11938941990,73.0189492,19.0435531,291516.00490273966,2106822.8699660716,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1092624647}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":621732575}]",native_shared_node_not_transfer_or_conflict_permission
11938941991,73.0190001,19.0435536,291521.3638892475,2106822.864841585,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1092624647}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":946201807}]",native_shared_node_not_transfer_or_conflict_permission
11953184416,73.6446471,19.7537337,357993.5348153695,2184797.59928066,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":609212771}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":801304732}]",native_shared_node_not_transfer_or_conflict_permission
