source,station_key,osm_relation_id,relation_name,relation_anchor_features,member_order,member_feature_id,member_role,geometry_inventory_status,member_tags_json,candidate_boarding_node,member_mode_status,relation_mode_status
derived_explicit_relation_membership,CR_HB_LABEL:bandra,11507845,Bandra,"[""node/1233481359"",""node/1233481362"",""node/1233481375"",""node/1233481385"",""node/1233481390"",""node/2630075000"",""node/7510862068"",""node/7510862069""]",13,relation/10664922,platform,available,"{""bench"":""yes"",""bin"":""yes"",""check_date:shelter"":""2024-09-25"",""departures_board"":""realtime"",""lit"":""yes"",""name"":""Platform 6,7"",""operator"":""Harbour line (Mumbai Suburban Railway)"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""6;7"",""shelter"":""yes"",""train"":""yes"",""type"":""multipolygon""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:bandra,11507845,Bandra,"[""node/1233481359"",""node/1233481362"",""node/1233481375"",""node/1233481385"",""node/1233481390"",""node/2630075000"",""node/7510862068"",""node/7510862069""]",14,relation/10664919,platform,available,"{""bench"":""yes"",""bin"":""yes"",""departures_board"":""realtime"",""lit"":""yes"",""operator"":""Western line (Mumbai Suburban Railway)"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""4,5"",""shelter"":""yes"",""train"":""yes"",""type"":""multipolygon""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",1,node/2630075005,,available,"{""IR:zone"":""WR:CCG"",""internet_access"":""no"",""name"":""Mahim Junction"",""name:hi"":""माहिम जंक्शन"",""name:ml"":""മാഹിം ജംഗ്ഷൻ"",""name:mr"":""माहिम जंक्शन"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""operator"":""WR"",""public_transport"":""station"",""railway"":""station"",""ref"":""MM"",""train"":""yes"",""wikidata"":""Q6734003"",""wikipedia"":""en:Mahim Junction railway station""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",2,way/427250229,platform,available,"{""name"":""Platform 1"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""1"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",3,way/427250237,platform,available,"{""name"":""Platform 2,3"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""2;3"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",4,way/427250232,platform,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",5,node/619252273,stop,available,"{""name"":""Mahim Junction"",""name:en"":""Mahim Junction"",""name:mr"":""माहिम रेल्वे स्थानक"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",6,node/1365560229,stop,available,"{""name"":""Mahim Junction"",""name:en"":""Mahim Junction"",""name:mr"":""माहिम रेल्वे स्थानक"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",7,node/1365560230,stop,available,"{""name"":""Mahim Junction"",""name:en"":""Mahim Junction"",""name:mr"":""माहिम रेल्वे स्थानक"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""3"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",8,node/1365560232,stop,available,"{""name"":""Mahim Junction"",""name:en"":""Mahim Junction"",""name:mr"":""माहिम रेल्वे स्थानक"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""5"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",9,node/619252274,stop,available,"{""name"":""Mahim Junction"",""name:en"":""Mahim Junction"",""name:mr"":""माहिम रेल्वे स्थानक"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""6"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:mahim jn,11507862,Mahim Junction,"[""node/1365560229"",""node/1365560230"",""node/1365560232"",""node/2630075005"",""node/619252273"",""node/619252274""]",10,way/990599377,platform,available,"{""imagery_used"":""Esri, retreived 10/2021"",""name"":""Platform 5,6"",""public_transport"":""platform"",""railway"":""platform"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:king's circle,11507865,King's Circle,"[""node/1650694464"",""node/2444154308"",""node/2444154310""]",1,node/1650694464,,available,"{""internet_access"":""no"",""name"":""King's Circle"",""name:hi"":""किंग्ज सर्कल"",""name:mr"":""किंग्ज सर्कल"",""network"":""IR"",""operator"":""CR"",""public_transport"":""station"",""railway"":""station"",""ref"":""KCE"",""wikidata"":""Q6410874"",""wikipedia"":""en:King's Circle railway station""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:king's circle,11507865,King's Circle,"[""node/1650694464"",""node/2444154308"",""node/2444154310""]",2,node/2444154308,,available,"{""name"":""King's Circle"",""name:mr"":""किंग्ज सर्कल"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:king's circle,11507865,King's Circle,"[""node/1650694464"",""node/2444154308"",""node/2444154310""]",3,node/2444154310,,available,"{""name"":""King's Circle"",""name:mr"":""किंग्ज सर्कल"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:king's circle,11507865,King's Circle,"[""node/1650694464"",""node/2444154308"",""node/2444154310""]",4,way/427245953,,available,"{""public_transport"":""platform"",""railway"":""platform"",""ref"":""1"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:king's circle,11507865,King's Circle,"[""node/1650694464"",""node/2444154308"",""node/2444154310""]",5,way/427245952,,available,"{""public_transport"":""platform"",""railway"":""platform"",""ref"":""2"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",1,way/236381660,platform,available,"{""covered"":""yes"",""departures_board"":""yes"",""operator"":""Central Railway"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""1"",""train"":""yes"",""wheelchair"":""limited""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",2,way/236381659,platform,available,"{""covered"":""yes"",""departures_board"":""yes"",""name"":""Vadala Road (Harbour Line)"",""operator"":""Central Railway"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""2;3"",""train"":""yes"",""wheelchair"":""limited""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",3,way/236381661,platform,available,"{""covered"":""yes"",""departures_board"":""yes"",""operator"":""Central Railways"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""4"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",4,node/7510862067,stop,available,"{""alt_name"":""Wadala Road"",""alt_name:en"":""Wadala Road"",""name"":""Vadala Road"",""name:en"":""Vadala Road"",""name:hi"":""वडाला रोड"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
