train_number,pattern_id,variant,leg_sequence,from_station_key,to_station_key,candidate_length_geodesic_m,printed_interval_seconds,removed_explicit_origin_dwell_seconds,geometry_distance_over_printed_interval_kmh,status
99507,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,geometry_only,3,CR_THB_CODE:AIRL,CR_THB_CODE:RABE,2451.7174478012753,180,0,49.03434895602551,diagnostic_only_unresolved_clock_roles_and_minute_precision
99507,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,geometry_only,4,CR_THB_CODE:RABE,CR_THB_CODE:GNSL,2333.446831831814,180,0,46.66893663663628,diagnostic_only_unresolved_clock_roles_and_minute_precision
99507,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,geometry_only,5,CR_THB_CODE:GNSL,CR_THB_CODE:KPHN,1522.8327570702074,180,0,30.456655141404152,diagnostic_only_unresolved_clock_roles_and_minute_precision
99507,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,geometry_only,6,CR_THB_CODE:KPHN,CR_THB_CODE:TUH,3173.503835035686,240,0,47.60255752553529,diagnostic_only_unresolved_clock_roles_and_minute_precision
99507,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,geometry_only,7,CR_THB_CODE:TUH,CR_THB_CODE:SNPD,2019.1273988335306,240,0,30.28691098250296,diagnostic_only_unresolved_clock_roles_and_minute_precision
99507,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,geometry_only,8,CR_THB_CODE:SNPD,CR_THB_CODE:VSH,1161.0224852362876,240,0,17.415337278544314,diagnostic_only_unresolved_clock_roles_and_minute_precision
99508,af7cb41dc4f9ec5384f75dd43dff84578515cda9c28efdc4c3862274eced1913,geometry_only,1,CR_THB_CODE:VSH,CR_THB_CODE:SNPD,1161.0224852362876,240,0,17.415337278544314,diagnostic_only_unresolved_clock_roles_and_minute_precision
99508,af7cb41dc4f9ec5384f75dd43dff84578515cda9c28efdc4c3862274eced1913,geometry_only,2,CR_THB_CODE:SNPD,CR_THB_CODE:TUH,2019.1273988335306,240,0,30.28691098250296,diagnostic_only_unresolved_clock_roles_and_minute_precision
99508,af7cb41dc4f9ec5384f75dd43dff84578515cda9c28efdc4c3862274eced1913,geometry_only,3,CR_THB_CODE:TUH,CR_THB_CODE:KPHN,3173.503835035686,240,0,47.60255752553529,diagnostic_only_unresolved_clock_roles_and_minute_precision
99508,af7cb41dc4f9ec5384f75dd43dff84578515cda9c28efdc4c3862274eced1913,geometry_only,4,CR_THB_CODE:KPHN,CR_THB_CODE:GNSL,1522.8327570702074,180,0,30.456655141404152,diagnostic_only_unresolved_clock_roles_and_minute_precision
