source_id,notice_id,listed_date,listed_valid_until,subject,notice_text,attachment_number,attachment_count,attachment_url,index_source_id,index_source_sha256,source,status
mtp_notice_816792,Notification No 248/DCP/Eastsub/Traff/Temp/2024,18/12/2024,Till Next Order,"Notification No 248  In Sakinaka Traffic Division, In connection with the Metro 6 project on JVLR Road (NSG camp to ganesh ghat selfy point), it is necessary to temporarily close the road and divert the traffic for the purpose","In Sakinaka Traffic Division, In connection with the Metro 6 project on JVLR Road (NSG camp to ganesh ghat selfy point), it is necessary to temporarily close the road and divert the traffic for the purpose of Launching of Elements for erection work laid by Eagle Infra India LTD. However, for the regulation of traffic, the order is given as follows.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816792/202412180000_816792_Notificationno248dcpeastsubtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816757,Notification No 245/DCP/HQ&Central/Traff/Temp/2024,17/12/2024,Till Next Order,Notification No 245  Makhdoom Shah Baba Dargah URS-2024 is organized in the jurisdiction of Mahim Traffic Division Mumbai between 16/12/2024 to 26/12/2024.,"Makhdoom Shah Baba Dargah URS-2024 is organized in the jurisdiction of Mahim Traffic Division Mumbai between 16/12/2024 to 26/12/2024. Large number of devotees do visit Dargah during the period. Balmiya lane situated just along Dargah road where vendors put their stall at both side and devotees do crowed there to purchase things from them and thereby creating obstacle to the vehicular traffic on the said road. Hence, following arrangements of vehicular traffic is made from dated 18/12/2024 to dated 26/12/2024",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816757/202412170000_816757_Notificationno245dcphq%26Centraltrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816724,Press Note OW No 2177/DCP West/2024 Date 17/12/2024,17/12/2024,Till Next Order,Three black spots along the Western Express Highway to be made safer for all,"Mumbai, December 12, 2024: To make traffic junctions safer for all road users, the Mumbai Traffic Control Branch (MTCB) under the leadership of the Joint Commissioner of Police (Traffic), IPS Anil Kumbhare, and the Brihanmumbai Municipal Corporation (BMC) has initiated a week-long junction improvement trial at three high-risk intersections, known as black spots, on the Western Express Highway (WEH) on December 03 and December 07, 2024.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816724/202412170000_816724_PressNoteOWNo2177_DCPWest_2024Date17_12_2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816692,Notification No 244/DCP/Eastsub/Traff/Temp/2024,12/12/2024,Till Next Order,Notification No 244  Regarding traffic regulation for the purpose of launching elements for the work of Marwah Tower project,"In Sakinaka Traffic Division, In connection with the Marwah Tower project on krishanlal Marwah Road, it is necessary to temporarily close the road and divert the traffic for the purpose of Launching of Elements for erection work laid by Om Shree Sai Crains (I) PVT. LTD. However, for the regulation of traffic, the order is given as follows",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816692/202412120000_816692_Notificationno244dcpeastsubtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816691,Notification No 243/DCP/HQ&Central/Traff/Temp/2024,12/12/2024,Till Next Order,"Notification No 243  The Central Railway Authority has undertaken the demolition of the Sion Over Bridge, and construction of a new bridge is currently underway.","The Central Railway Authority has undertaken the demolition of the Sion Over Bridge, and construction of a new bridge is currently underway. As part of this project, the height of the road connecting to the new bridge will be adjusted proportionally. Consequently, traffic at the Pai Naresh Mane Junction has been temporarily blocked. However, following orders are being given regarding traffic management by diverting the said traffic to another route",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816691/202412120000_816691_Notificationno243dcphq%26Centraltrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816658,Notification No 242/DCP/South/Traff/Temp/2024,10/12/2024,Till Next Order,"Notification No 242  Dharmaveer Swarajya Rakshak Chhatrapati Sambhaji Maharaj Marg (Coastal Road) the road (Arm 2) between Lala Lajpatrai Marg, North Bound to Coastal Road North Bound is proposed to be opened for traffic.","Dharmaveer Swarajyarakshak Chhatrapati Sambhaji Maharaj Marg (Coastal Road) was opened for traffic from Nariman Point to Worli sealink. On Dharmaveer Swarajya Rakshak Chhatrapati Sambhaji Maharaj Marg (Coastal Road) the road (Arm 2) between Lala Lajpatrai Marg, North Bound to Coastal Road North Bound is proposed to be opened for traffic.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816658/202412100000_816658_Notificationno242dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816625,Notification No 240/DCP/South/Traff/Temp/2024,09/12/2024,Till Next Order,"Notification No 240  Whereas There is a Proposed Girder Lunching work on New Byculla Bridge, next to Byculla Bridge (Anna Saheb Patil) Therefore, it is necessary to pass the appropriate orders to manage the traffic on the said route.","Whereas There is a Proposed Girder Lunching work on New Byculla Bridge, next to Byculla Bridge (Anna Saheb Patil) Therefore, it is necessary to pass the appropriate orders to manage the traffic on the said route.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816625/202412090000_816625_Notificationno240dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816626,Notification No 241/DCP/South/Traff/Temp/2024,09/12/2024,Till Next Order,"Notification No 241  Whereas, On Sunday, 15/12/2024, Mazagaon Dock Has Organized "" Mazagaon Doek Ltd Challenge Run"" In South Mumbai. There Are Two Different Categories Of Run Such As 1) 10 Km. Run 2) 3 Km. Run.","Whereas, On Sunday, 15/12/2024, Mazagaon Dock Has Organized "" Mazagaon Doek Ltd Challenge Run"" In South Mumbai. There Are Two Different Categories Of Run Such As 1) 10 Km. Run 2) 3 Km. Run.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816626/202412090000_816626_Notificationno241dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816592,Notification No 239/DCP/South/Traff/Temp/2024,07/12/2024,Till Next Order,"Notification No 239  On Sunday, 08/12/2024, Indian Navy has organized ""Indian Oil WNC Navy Half Marathon 2024"" in south Mumbai.","On Sunday, 08/12/2024, Indian Navy has organized ""Indian Oil WNC Navy Half Marathon 2024"" in south Mumbai. There are three different categories of run such as 1) 21 Km. Run, 2) 10 Km. Run & 3) 5 Km. Run. Following traffic advisory is suggested to avoided obstruction & inconvenience to public.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816592/202412070000_816592_Notificationno239dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816559,Notification No 238/DCP/South/Traff/Temp/2024,06/12/2024,Till Next Order,Notification No 238  In view of the Maharashtra Special Assembly Session starting from 07th December 2024 to 09th December. Following traffic advisory is suggested to avoided obstruction & inconvenience to public,In view of the Maharashtra Special Assembly Session starting from 07th December 2024 to 09th December. Following traffic advisory is suggested to avoided obstruction & inconvenience to public,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816559/202412060000_816559_Notificationno238dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
