operator_name,source_row_serial,financial_year,metric,value_as_printed,numeric_value,unit,reported_status,source,source_id,source_sha256,source_page_1_based,model_ready,geography_scope
Maharashtra SRTC,11,2021-22,average_fleet_age,9.00,9.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,average_fleet_age,8.00,8.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,average_fleet_age,7.40,7.40,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2021-22,overaged_vehicles,42.60,42.60,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,overaged_vehicles,29.16,29.16,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,overaged_vehicles,19.20,19.20,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2021-22,fuel_efficiency_cng,3.81,3.81,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,fuel_efficiency_cng,4.14,4.14,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,fuel_efficiency_cng,3.82,3.82,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,statewide_not_mmr
BEST Undertaking,46,2021-22,average_fleet_age,11.40,11.40,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2020-21,average_fleet_age,11.55,11.55,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2019-20,average_fleet_age,11.40,11.40,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2021-22,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2020-21,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2019-20,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2021-22,fuel_efficiency_cng,2.65,2.65,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2020-21,fuel_efficiency_cng,2.78,2.78,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
BEST Undertaking,46,2019-20,fuel_efficiency_cng,2.58,2.58,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2021-22,average_fleet_age,NR,,years,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2020-21,average_fleet_age,NR,,years,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2019-20,average_fleet_age,NR,,years,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2021-22,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2020-21,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2019-20,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2021-22,fuel_efficiency_cng,3.79,3.79,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2020-21,fuel_efficiency_cng,2.85,2.85,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Navi Mumbai MT,48,2019-20,fuel_efficiency_cng,2.93,2.93,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2021-22,average_fleet_age,12.00,12.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2020-21,average_fleet_age,12.00,12.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2019-20,average_fleet_age,7.00,7.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2021-22,overaged_vehicles,23.07,23.07,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2020-21,overaged_vehicles,45.57,45.57,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2019-20,overaged_vehicles,15.48,15.48,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2021-22,fuel_efficiency_cng,2.12,2.12,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2020-21,fuel_efficiency_cng,2.00,2.00,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Thane MT,51,2019-20,fuel_efficiency_cng,2.09,2.09,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2021-22,average_fleet_age,7.00,7.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2020-21,average_fleet_age,7.00,7.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2019-20,average_fleet_age,7.00,7.00,years,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2021-22,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2020-21,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2019-20,overaged_vehicles,NR,,percent,not_reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2021-22,fuel_efficiency_cng,0.00,0.00,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2020-21,fuel_efficiency_cng,0.00,0.00,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Kalyan Dombivali MT,52,2019-20,fuel_efficiency_cng,0.00,0.00,km_per_kg,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,111,False,operator_network
Maharashtra SRTC,11,2021-22,fuel_efficiency_hsd,4.42,4.42,km_per_litre,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,fuel_efficiency_hsd,4.46,4.46,km_per_litre,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,fuel_efficiency_hsd,4.49,4.49,km_per_litre,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2021-22,effective_revenue_kilometres,"7,172.38",7172.38,lakh_km,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,effective_revenue_kilometres,"8,617.08",8617.08,lakh_km,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,effective_revenue_kilometres,"19,503.60",19503.60,lakh_km,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2021-22,staff_strength,"78,836",78836,persons_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,staff_strength,"95,229",95229,persons_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,staff_strength,"1,00,135",100135,persons_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,statewide_not_mmr
BEST Undertaking,46,2021-22,fuel_efficiency_hsd,2.68,2.68,km_per_litre,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,operator_network
BEST Undertaking,46,2020-21,fuel_efficiency_hsd,3.03,3.03,km_per_litre,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,operator_network
BEST Undertaking,46,2019-20,fuel_efficiency_hsd,2.83,2.83,km_per_litre,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,112,False,operator_network
