state_code,district_code,subdistrict_code,town_code,area_name,residence,household_size_band,households_count,all_size_households_count,all_size_normal_household_persons_count,published_mean_household_size_persons,universe,source,source_id,source_sha256,source_row,observation_year,status
27,517,04157,000000,Sub-district - Talasari,Urban,5,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,6,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,7-10,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,11-14,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,15+,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,1,4146,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,2,8339,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,3,10638,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,4,16401,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,5,15305,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,6,10716,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,7-10,14293,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,11-14,1275,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Total,15+,212,81325,389186,4.8,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,697,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,1,3413,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,2,6887,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,3,8303,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,4,12473,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,5,12470,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,6,9225,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,7-10,12780,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,11-14,1116,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Rural,15+,190,66857,325631,4.9,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,698,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,1,733,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,2,1452,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,3,2335,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,4,3928,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,5,2835,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,6,1491,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,7-10,1513,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
