region,observation_year,minimum_age_years,activity,residence,sex,activity_scope,denominator,value,unit,source,source_id,source_sha256,statement,pdf_page,status
Maharashtra,2024,6,Unpaid caregiving services for household members,rural+urban,male,major_activity,participation,14.4,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,rural+urban,female,major_activity,participation,27.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,rural+urban,person,major_activity,participation,20.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",rural,male,major_activity,participation,0.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",rural,female,major_activity,participation,0.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",rural,person,major_activity,participation,0.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",urban,male,major_activity,participation,0.5,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",urban,female,major_activity,participation,0.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",urban,person,major_activity,participation,0.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",rural+urban,male,major_activity,participation,0.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",rural+urban,female,major_activity,participation,0.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Unpaid volunteer, trainee and other unpaid work",rural+urban,person,major_activity,participation,0.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,rural,male,major_activity,participation,19.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,rural,female,major_activity,participation,16.5,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,rural,person,major_activity,participation,18.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,urban,male,major_activity,participation,18.2,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,urban,female,major_activity,participation,17.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,urban,person,major_activity,participation,18.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,rural+urban,male,major_activity,participation,19.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,rural+urban,female,major_activity,participation,17.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Learning,rural+urban,person,major_activity,participation,18.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",rural,male,major_activity,participation,76.5,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",rural,female,major_activity,participation,70.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",rural,person,major_activity,participation,73.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
