state_code,district_code,residence,district_name,mode_raw,distance_band_km_raw,persons_count,male_persons_count,female_persons_count,observation_year,universe,source,source_id,source_sha256,calibration_eligible
27,517,Total,Thane,Tempo/Autorickshaw/Taxi,6-10,44485,36139,8346,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Tempo/Autorickshaw/Taxi,11-20,19271,15600,3671,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Tempo/Autorickshaw/Taxi,21-30,6765,5763,1002,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Tempo/Autorickshaw/Taxi,31-50,8042,6829,1213,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Tempo/Autorickshaw/Taxi,51+,4431,3932,499,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Tempo/Autorickshaw/Taxi,Distance not stated,11855,10032,1823,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,Total,319814,254188,65626,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,No travel,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,0-1,18582,14328,4254,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,2-5,85469,66445,19024,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,6-10,73390,58290,15100,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,11-20,58797,47043,11754,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,21-30,32210,26208,6002,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,31-50,26902,22212,4690,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,51+,10680,9004,1676,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Bus,Distance not stated,13784,10658,3126,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,Total,1044027,851253,192774,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,No travel,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,0-1,28629,23194,5435,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,2-5,57127,45572,11555,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,6-10,77214,61307,15907,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,11-20,141312,111475,29837,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,21-30,172419,138194,34225,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,31-50,312627,258135,54492,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,51+,191540,162275,29265,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Train,Distance not stated,63159,51101,12058,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,Total,16203,14946,1257,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,No travel,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,0-1,1116,915,201,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,2-5,946,793,153,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,6-10,1488,1365,123,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,11-20,1387,1319,68,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,21-30,1483,1342,141,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,31-50,2043,1857,186,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,51+,5367,5158,209,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Water transport,Distance not stated,2373,2197,176,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,Total,17304,15031,2273,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,No travel,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,0-1,2012,1747,265,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,2-5,2779,2318,461,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,6-10,1729,1503,226,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,11-20,1600,1353,247,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,21-30,1049,907,142,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,31-50,1515,1342,173,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,51+,1765,1586,179,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,Any other,Distance not stated,4855,4275,580,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,Total,650478,438733,211745,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,No travel,650478,438733,211745,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,0-1,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
