office_label,column_1_based,measure,office_level,category_code,printed_category_label,vehicles_count,aggregate_row,source_page,source,source_sha256
Mumbai (W),2,registered_stock_20170331,office,12,12 Pvt.Serv.Veh.,172,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,13,13 Ambulances,142,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,14,14 Arti. & Multi.Veh.,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,15,15 Trucks & Lorries,1516,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,16,16 Tankers,155,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,17,17 Del. Van(4 Wh.),3226,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,18,18 Del. Van(3 wh.),6035,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,19,19 Tractors,17,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,20,20 Trailers,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,21,21 Others.,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,total_all_vehicles,Total,964912,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,1,1 Motor Cycles,286898,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,2,2 Scooters,125368,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,3,3 Mopeds,11468,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,subtotal_two_wheelers,Total Two  wheelers,423734,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,4,4 Motor Cars,155167,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,5,5 Jeeps,5285,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,6,6 Station Wagons,831,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,7a,7(A) Taxi meter fitted,7340,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,7b,7(B) Taxi Tourist Cabs,14194,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,8,8 Autorickshaws,57651,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,9,9 Stage Carriages,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,10,10 Contract Carriages,654,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,11,11 School Buses,718,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,12,12 Pvt.Serv.Veh.,348,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,13,13 Ambulances,311,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,14,14 Arti. & Multi.Veh.,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
