state_code,district_code,area_name,residence,age_years_or_band,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,520,District - Raigarh (24),Urban,38,16467,8334,8133,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2519,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,39,31718,16746,14972,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2520,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,39,18047,9453,8594,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2520,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,39,13671,7293,6378,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2520,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,40,60372,30039,30333,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2521,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,40,38999,18880,20119,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2521,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,40,21373,11159,10214,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2521,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,41,32372,17357,15015,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2522,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,41,18831,9810,9021,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2522,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,41,13541,7547,5994,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2522,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,42,34594,18348,16246,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2523,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,42,20589,10741,9848,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2523,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,42,14005,7607,6398,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2523,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,43,25137,13404,11733,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2524,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,43,14208,7450,6758,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2524,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,43,10929,5954,4975,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2524,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,44,25894,13648,12246,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2525,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,44,14898,7678,7220,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2525,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,44,10996,5970,5026,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2525,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,45,51597,25207,26390,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2526,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,45,33759,16004,17755,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2526,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,45,17838,9203,8635,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2526,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,46,28155,14588,13567,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2527,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,46,16831,8477,8354,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2527,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,46,11324,6111,5213,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2527,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,47,21891,11607,10284,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2528,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,47,12787,6467,6320,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2528,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,47,9104,5140,3964,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2528,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,48,26630,13639,12991,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2529,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,48,16291,7971,8320,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2529,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,48,10339,5668,4671,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2529,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,49,20838,11313,9525,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2530,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,49,12403,6533,5870,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2530,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,49,8435,4780,3655,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2530,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,50,45528,22282,23246,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2531,2011,historical_control_not_current_demand
