source,source_id,source_sha256,source_pdf_page,source_table,publisher_edition,area_name,geography_level,status,reference_date,age_label,age_partition,persons_thousands_count,male_thousands_count,female_thousands_count,unit_basis
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,40-44,five_year_or_open,8075,4143,3933,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,40-44,five_year_or_open,8919,4592,4326,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,45-49,five_year_or_open,6067,3151,2916,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,45-49,five_year_or_open,7094,3654,3440,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,45-49,five_year_or_open,7971,4077,3894,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,50-54,five_year_or_open,4957,2573,2384,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,50-54,five_year_or_open,5920,3053,2867,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,50-54,five_year_or_open,6932,3546,3386,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,55-59,five_year_or_open,4098,2069,2029,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,55-59,five_year_or_open,4770,2449,2321,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,55-59,five_year_or_open,5708,2913,2795,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,60-64,five_year_or_open,3575,1718,1857,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,60-64,five_year_or_open,3843,1914,1929,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,60-64,five_year_or_open,4490,2275,2215,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,65-69,five_year_or_open,2996,1414,1582,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,65-69,five_year_or_open,3222,1524,1698,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,65-69,five_year_or_open,3487,1710,1777,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,70-74,five_year_or_open,2411,1148,1262,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,70-74,five_year_or_open,2550,1185,1365,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,70-74,five_year_or_open,2774,1290,1484,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,75-79,five_year_or_open,1373,695,678,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,75-79,five_year_or_open,1864,869,995,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,75-79,five_year_or_open,2008,910,1098,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,80+,five_year_or_open,826,374,452,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,80+,five_year_or_open,1247,593,655,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,80+,five_year_or_open,1789,815,974,printed_table_18_heading
