observation_year,geography_level,ec_district_code,geography_name,table,dimension,category,measure,value_count,source,derivation,source_id,source_sha256,pdf_page,status
2013,historical_district,07,Amravati,2.8,residence,rural,persons_engaged,97830,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,07,Amravati,2.8,residence,urban,persons_engaged,138367,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,07,Amravati,2.8,residence,combined,persons_engaged,236197,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,08,Wardha,2.8,residence,rural,establishments,39348,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,08,Wardha,2.8,residence,urban,establishments,28211,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,08,Wardha,2.8,residence,combined,establishments,67559,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,08,Wardha,2.8,residence,rural,persons_engaged,70931,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,08,Wardha,2.8,residence,urban,persons_engaged,60608,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,08,Wardha,2.8,residence,combined,persons_engaged,131539,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,09,Nagpur,2.8,residence,rural,establishments,79156,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,09,Nagpur,2.8,residence,urban,establishments,179555,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,09,Nagpur,2.8,residence,combined,establishments,258711,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,09,Nagpur,2.8,residence,rural,persons_engaged,150993,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,09,Nagpur,2.8,residence,urban,persons_engaged,419591,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,09,Nagpur,2.8,residence,combined,persons_engaged,570584,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,10,Bhandara,2.8,residence,rural,establishments,67013,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,10,Bhandara,2.8,residence,urban,establishments,19522,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,10,Bhandara,2.8,residence,combined,establishments,86535,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
