dataset,indicator_code,indicator,observation_year,region,dimensions_json,reported_count,source,source_id,source_sha256,status
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""All Management""}",7599138,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""All Management""}",6965179,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""All Management""}",14564317,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""All Management""}",1927118,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""All Management""}",1684658,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""All Management""}",3611776,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""All Management""}",1442127,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""All Management""}",1337055,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""All Management""}",2779182,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""All Management""}",10968383,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""All Management""}",9986892,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""All Management""}",20955275,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""All Management""}",11135678,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""All Management""}",10136933,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Government""}",5108544,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Government""}",30870,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Government""}",29487,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Government""}",60357,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""Government""}",1824460,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""Government""}",1847475,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""Government""}",3671935,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""Government""}",515285,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""Government""}",549690,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
