location_id,purpose,geography_id,x_m,y_m,source
osm_node_10076411791,work,,371837.83476399514,2060173.481302425,OSM_point_location_not_capacity
osm_node_10076411791,shopping,,371837.83476399514,2060173.481302425,OSM_point_location_not_capacity
osm_node_10079717837,work,,369955.60441681487,2056505.4548980703,OSM_point_location_not_capacity
osm_node_10079717838,work,,369950.8151948352,2056505.698027774,OSM_point_location_not_capacity
osm_node_10079717838,shopping,,369950.8151948352,2056505.698027774,OSM_point_location_not_capacity
osm_node_10079727455,work,,370095.6368200816,2056308.2348221652,OSM_point_location_not_capacity
osm_node_10079727455,shopping,,370095.6368200816,2056308.2348221652,OSM_point_location_not_capacity
osm_node_10079750897,work,,369889.32058367366,2056503.5082696893,OSM_point_location_not_capacity
osm_node_10079750897,leisure,,369889.32058367366,2056503.5082696893,OSM_point_location_not_capacity
osm_node_10079750898,work,,369883.90216264175,2056467.4342434236,OSM_point_location_not_capacity
osm_node_10079750898,shopping,,369883.90216264175,2056467.4342434236,OSM_point_location_not_capacity
osm_node_10080029425,work,,370076.98876827146,2056269.5400512344,OSM_point_location_not_capacity
osm_node_10080029425,shopping,,370076.98876827146,2056269.5400512344,OSM_point_location_not_capacity
osm_node_10080029427,work,,370077.73058481846,2056262.2972357601,OSM_point_location_not_capacity
osm_node_10080029427,leisure,,370077.73058481846,2056262.2972357601,OSM_point_location_not_capacity
osm_node_10080029428,work,,370052.8141341209,2056275.9474655825,OSM_point_location_not_capacity
osm_node_10080029428,shopping,,370052.8141341209,2056275.9474655825,OSM_point_location_not_capacity
osm_node_10080029429,work,,370053.22890493576,2056267.1796625007,OSM_point_location_not_capacity
osm_node_10080029429,shopping,,370053.22890493576,2056267.1796625007,OSM_point_location_not_capacity
osm_node_10080207229,leisure,,317311.9312624527,2097364.8326952904,OSM_point_location_not_capacity
osm_node_10080207238,leisure,,316976.7303824149,2100603.6373723485,OSM_point_location_not_capacity
osm_node_10080207239,leisure,27:520:04173:553395:0000:000000,316476.97964245145,2100730.825394538,OSM_point_location_not_capacity
osm_node_10080207286,leisure,27:520:04173:553395:0000:000000,316624.9321874124,2101116.98465185,OSM_point_location_not_capacity
osm_node_10080207302,leisure,,319025.88549100654,2102386.524405351,OSM_point_location_not_capacity
osm_node_10080283372,leisure,27:520:04173:553394:0000:000000,318400.5660074128,2102533.566833455,OSM_point_location_not_capacity
osm_node_10080299839,leisure,27:520:04175:553703:0000:000000,317181.6012022335,2098038.0445799264,OSM_point_location_not_capacity
osm_node_10080299843,leisure,,317141.57649895275,2098127.4738237783,OSM_point_location_not_capacity
osm_node_10080299892,leisure,,317645.7437702868,2099878.1211506603,OSM_point_location_not_capacity
osm_node_10080299894,leisure,,317883.3381487741,2099924.9686041046,OSM_point_location_not_capacity
osm_node_10080299934,leisure,,317606.94583374576,2099808.331105564,OSM_point_location_not_capacity
osm_node_10080299944,leisure,,317616.54686142516,2099676.350503539,OSM_point_location_not_capacity
osm_node_10080299947,leisure,,317712.2644894802,2099758.9642256545,OSM_point_location_not_capacity
osm_node_10091349942,work,,365560.34880143584,2046037.216275791,OSM_point_location_not_capacity
osm_node_10091349945,work,,371748.04611177626,2039869.9856082054,OSM_point_location_not_capacity
osm_node_10091349947,work,,371739.9182785322,2039791.9650943652,OSM_point_location_not_capacity
osm_node_10091349947,shopping,,371739.9182785322,2039791.9650943652,OSM_point_location_not_capacity
osm_node_10091349948,work,,371772.5660224831,2039713.394439635,OSM_point_location_not_capacity
osm_node_10091349948,shopping,,371772.5660224831,2039713.394439635,OSM_point_location_not_capacity
osm_node_10091426170,work,27:520:04173:553514:0001:000000,299500.09472568013,2106055.3478142195,OSM_point_location_not_capacity
osm_node_10091431218,work,,372654.92370979674,2063228.1289743066,OSM_point_location_not_capacity
osm_node_10091431219,work,,372342.52634927025,2042479.930740642,OSM_point_location_not_capacity
osm_node_10092613932,leisure,,318027.7950011715,2100241.940234851,OSM_point_location_not_capacity
osm_node_10093180631,work,,372652.1229769678,2056948.364920752,OSM_point_location_not_capacity
osm_node_10093180631,shopping,,372652.1229769678,2056948.364920752,OSM_point_location_not_capacity
osm_node_10093180647,work,,372769.1385248879,2056907.727471858,OSM_point_location_not_capacity
osm_node_10093180647,leisure,,372769.1385248879,2056907.727471858,OSM_point_location_not_capacity
osm_node_10101434119,social,27:519:99999:802794:0838:000000,270634.5616146016,2100160.952074225,OSM_point_location_not_capacity
osm_node_10102467744,work,,371677.189573103,2056160.0793897263,OSM_point_location_not_capacity
osm_node_10102467744,leisure,,371677.189573103,2056160.0793897263,OSM_point_location_not_capacity
osm_node_10102498133,work,,361581.23513416504,2054374.760419916,OSM_point_location_not_capacity
osm_node_10102498133,leisure,,361581.23513416504,2054374.760419916,OSM_point_location_not_capacity
osm_node_10108069854,work,27:519:99999:802794:0523:000000,272082.3245498871,2099913.4137670337,OSM_point_location_not_capacity
osm_node_10108069854,shopping,27:519:99999:802794:0523:000000,272082.3245498871,2099913.4137670337,OSM_point_location_not_capacity
osm_node_10109217027,work,,371681.81845083134,2058314.3696128924,OSM_point_location_not_capacity
osm_node_10109217028,work,,371693.6946574908,2058329.2293559783,OSM_point_location_not_capacity
osm_node_10109217029,work,,371718.4227893407,2058358.1343730974,OSM_point_location_not_capacity
osm_node_10109217029,shopping,,371718.4227893407,2058358.1343730974,OSM_point_location_not_capacity
osm_node_10109217030,work,,371711.74924287264,2058348.0534382798,OSM_point_location_not_capacity
osm_node_10109217030,shopping,,371711.74924287264,2058348.0534382798,OSM_point_location_not_capacity
osm_node_10109217031,social,,371689.48330845183,2058319.696153055,OSM_point_location_not_capacity
osm_node_10109219801,work,,370436.9986222274,2056589.5753031194,OSM_point_location_not_capacity
osm_node_10109219801,shopping,,370436.9986222274,2056589.5753031194,OSM_point_location_not_capacity
osm_node_10109219802,work,,370431.91630870686,2056587.0757353792,OSM_point_location_not_capacity
osm_node_10109219802,shopping,,370431.91630870686,2056587.0757353792,OSM_point_location_not_capacity
osm_node_1011184850,work,,371862.5267627638,2050762.1721609738,OSM_point_location_not_capacity
osm_node_1011184850,shopping,,371862.5267627638,2050762.1721609738,OSM_point_location_not_capacity
osm_node_1011184893,work,,371644.6423689381,2051068.0771407345,OSM_point_location_not_capacity
osm_node_1011184893,education,,371644.6423689381,2051068.0771407345,OSM_point_location_not_capacity
